config_jpeg,True detect,No detect,False detect
Forged_None,938.0,62.0,0.0
Forged_95,858.0,142.0,0.0
Forged_90,876.0,124.0,0.0
Unforged_None,1000.0,0.0,0.0
Unforged_95,390.0,0.0,610.0
Unforged_90,258.0,0.0,742.0
