config_jpeg,True detect,No detect,False detect
Original_None,0.0,0.0,18.0
Original_95,0.0,0.0,18.0
Original_90,0.0,0.0,18.0
bilinear_None,72.0,0.0,0.0
bilinear_95,8.0,0.0,64.0
bilinear_90,8.0,0.0,64.0
malvar_None,72.0,0.0,0.0
malvar_95,16.0,0.0,56.0
malvar_90,4.0,0.0,68.0
menon_None,72.0,0.0,0.0
menon_95,72.0,0.0,0.0
menon_90,68.0,0.0,4.0
RGGB_None,54.0,0.0,0.0
RGGB_95,53.0,0.0,1.0
RGGB_90,51.0,2.0,1.0
BGGR_None,54.0,0.0,0.0
BGGR_95,53.0,0.0,1.0
BGGR_90,54.0,0.0,0.0
GRBG_None,54.0,0.0,0.0
GRBG_95,53.0,1.0,0.0
GRBG_90,53.0,1.0,0.0
GBRG_None,54.0,0.0,0.0
GBRG_95,53.0,1.0,0.0
GBRG_90,51.0,1.0,2.0
0_None,108.0,0.0,0.0
0_95,103.0,5.0,0.0
0_90,83.0,22.0,3.0
1_None,108.0,0.0,0.0
1_95,101.0,7.0,0.0
1_90,86.0,20.0,2.0
