config_jpeg,True detect,No detect,False detect
Forged_None,934.0,66.0,0.0
Forged_95,843.0,157.0,0.0
Forged_90,880.0,120.0,0.0
Unforged_None,1000.0,0.0,0.0
Unforged_95,405.0,0.0,595.0
Unforged_90,264.0,0.0,736.0
